Sample_ID,d7Li,lgm,glacier,river_width,perprob,magtm,MAT,PET,SaltDep,rorc,rclay,tot_per_sil_sed_su_ss,tot_per_carb_sed_sc_sm_ev,tot_per_mt_plt_vl_py,random,mean_dem,acc_base,acc_map,acc_depth
MICKINLEY_R,15.44,77.2861,13.90062,23,0.424102,-0.236471,-4.11721,402.307958,-0.000005,204.961944,13.566153,51.52675,12.85191,16.5491,0.048367654,3179.21,229.59,507.72,81.94
BIRCH_CR_DNPS,21.54,28.8542,1.00258,53,0.223539,0.764967,-4.012368,431.068702,-0.000006,207.434364,13.268731,65.26484,21.65994,0.88575,0.357493303,2402.938,252.23,456.34,100.1
FORAKER_R,15,31.3102,5.33131,23,0.184126,1.116019,-3.684231,449.141685,-0.000179,215.138248,12.603486,56.10764,33.27698,0.41189,0.8459236,1843.853,280.9,435.58,104.86
KANTISHNA_R_MSTEM_NPS,17.12,28.0962,0.02201,46,0.235974,0.818347,-3.626818,457.690378,-0.000007,212.112698,12.616254,43.42755,44.80516,4.04774,0.054663585,1680.036,264.07,427.87,95.33
TOKLAT_R_DNPS,10.54,55.9274,0.35311,65,0.593229,-0.745769,-3.354042,413.382107,-0.000417,191.263159,13.466367,39.71873,38.73918,14.16237,0.861407735,3254.048,270.68,568.25,112.71
CHATANIKA_R,28.58,0,0,68,0.632116,-0.506606,-3.836895,497.240149,-0.000093,232.84069,11.242485,0,0,99.99066,0.494378474,1633.794,246.47,284.86,102.68
E Andy,30.29,0,0,40,0.3191,0.566125,-1.796154,392.402425,-0.000015,226.363131,12.491817,91.33762,0,8.65933,0.781914274,558.311,90.87,423.94,100.96
Conluence E and W Fork Andy,26.05,0,0,273,0.380242,0.405215,-1.686389,391.489229,-0.000004,228.587397,13.911847,93.80298,0,5.83426,0.547931518,420.544,104.56,436.97,99.74
SHEENJEK,20.38,13.3558,0,19,0.987838,-5.850558,-8.519846,323.066364,-0.000001,190.814954,17.129792,11.15191,66.25141,22.32386,0.868106299,2021.285,418.51,155.05,99.81
COLLEEN,19.44,0,0,56,0.976039,-4.997315,-8.562119,338.464851,-0.000017,191.832771,17.242907,14.75211,73.12986,12.11126,0.660205072,1564.1,427.88,170.15,100.62
PORCUPINE MAIN STEM,16.89,30.9952,0,133,0.971692,-3.91452,-8.385789,396.442219,-0.000001,192.45322,18.692394,76.69042,20.98861,2.32041,0.079406797,1336.841,1188.48,258.27,94.22
SALMON FORK BLACK RIVER,16.12,0,0,25,0.855508,-1.271239,-6.680907,451.327016,-0.000019,189.669963,12.263349,29.51832,70.36937,0.10275,0.054289882,1437.33,985.63,232.62,100.37
BLACK,18.75,0,0,76,0.792178,-1.00906,-6.353583,474.718993,-0.000114,201.832935,12.336212,34.58846,64.79316,0.54996,0.963065408,1188.164,829.87,228.56,103.11
PORCUPINE MAIN STEM,16.94,23.9859,0,272,0.967818,-3.844903,-8.271874,393.178349,-0.000004,193.661142,18.006304,64.04062,31.66926,4.28741,0.162439111,1314.244,1032.34,240.19,95.63
EAST FORK CHANDLAR,16.13,61.0535,0,56,0.993333,-6.346011,-8.504189,334.932097,-0.000003,178.828899,16.083834,2.02898,96.78315,1.07767,0.425727674,2679.279,411.38,175.62,100.08
CHANDLAR MAIN STEM,18.8,47.2493,0,48,0.968156,-4.992409,-7.749932,381.401163,-0.000001,181.882636,15.092154,1.37368,92.37837,6.19856,0.357855169,2389.684,395.93,214.29,100.08
NORTH FORK CHANDLAR,17.85,47.8633,0,72,0.95368,-4.145944,-7.184413,414.773395,-0.000014,180.793398,14.356542,0,87.08411,12.91161,0.735155799,2317.361,392.68,256.59,100.46
HOZANA,22.3,0,0,11,0.713433,-0.960545,-5.156891,479.101039,-0.000097,191.760525,12.111034,0.10878,56.79626,43.05608,0.63216152,1539.697,369.95,303.39,102.74
CHANDLAR MAIN STEM MOUTH,17.47,45.7687,0,72,0.963165,-4.869683,-7.69282,385.258053,-0.000001,182.531283,15.028807,4.45233,89.4954,6.00412,0.354400633,2327.579,396.04,214.31,100.11
YUKON MAIN STEM,15.07,48.4199,1.81459,259,0.645022,-1.134217,-5.31693,471.051349,0,186.737403,14.498103,31.68497,34.20883,33.17629,0.47104168,2205.51,726.09,294.44,97.41
FISH CR,23.09,0,0,24,0.575203,-0.425154,-5.062312,477.737319,-0.000028,212.769984,13.465086,4.88923,55.42484,39.67764,0.93203905,1143.894,297.52,321.19,100.72
U KOYUKUK MAIN STEM,17.04,23.7332,0,106,0.858524,-2.644415,-6.363229,418.160379,-0.000001,194.162003,13.253268,6.46067,82.31332,11.22516,0.225435377,1765.161,363.3,296.53,100.03
KOYUKUK MAIN STEM,17.28,34.0821,0,111,0.940074,-3.412221,-6.744475,395.186814,-0.000006,187.982045,13.360642,2.90019,93.97648,3.11883,0.395700292,2039.163,397,288.28,100.18
JOHN,14.28,45.3956,0,102,0.965643,-3.97322,-7.24926,368.510626,-0.000007,187.0232,14.353849,0.40935,99.31334,0.27439,0.385960967,2203.807,419.39,288.23,100.43
WILD,16.91,0,0,38,0.906676,-2.079874,-6.110524,418.700123,-0.000126,194.519277,12.177411,8.03854,88.24931,3.66192,0.160715355,1648.191,388.81,316.49,103.01
KOYUKUK MAIN STEM,15.5,23.376,0,111,0.854454,-2.610745,-6.351168,419.536772,-0.000002,194.284983,13.262267,6.36339,82.57946,11.056,0.892253287,1745.679,359.24,297.17,100.05
KANUTI,20.8,0.0357,0,36,0.471358,-0.077249,-4.749383,489.92514,-0.000009,205.606754,12.227932,8.76838,38.39895,52.82709,0.275129607,1092.384,202.22,341.49,100.27
NORTH FORK KOYUKUK NEAR MOUTH,16.13,38.8894,0,68,0.959142,-3.780124,-6.841178,388.846878,-0.000002,185.064217,13.069971,1.35842,93.69517,4.94556,0.014966142,2173.483,400.38,281.42,99.98
MALAMUTE FORK ALATNA,15.14,0,0,56,0.850651,-1.448849,-6.007451,429.692656,-0.000126,199.955007,12.228237,6.50026,76.32355,17.12576,0.472647622,1512.739,377.39,331.51,103.69
MALAMUTE FORK ALATNA,16.29,0,0,26,0.839348,-1.399476,-5.974154,430.049404,-0.000084,199.576665,12.170023,5.71385,78.54381,15.70874,0.983569699,1483.206,371.09,327.18,102.1
ALATNA,12.34,40.3874,0,32,0.854101,-2.225318,-6.235656,376.976825,-0.000018,188.583689,13.141451,2.02772,90.47692,7.48643,0.234950311,1916.802,393.36,323.01,100.37
YUKON MAIN STEM,16.43,34.2445,0.05932,815,0.588584,-0.81794,-4.891456,473.674225,0,194.626666,13.590362,30.50664,34.18083,34.05206,0.433930391,1836.795,545.5,309.32,97.69
